ID	adj.P.Val	P.Value	t	B	logFC	ORF
5027	6.86e-08	1.03e-09	-32.26518	13.16679	-1.927379	YNL274C
5865	6.86e-08	1.03e-09	32.247376	13.16219	1.2921606	YPL126W
4072	6.98e-08	1.06e-09	32.13296	13.13256	1.3984351	YLR276C
4000	7.76e-08	1.21e-09	-31.592487	12.99101	-1.2005664	YLR205C
2107	7.76e-08	1.22e-09	31.585009	12.98904	1.3776896	YGL171W
3495	7.76e-08	1.23e-09	-31.536701	12.97625	-1.3270376	YKL103C
5630	7.76e-08	1.23e-09	-31.526805	12.97363	-1.4531196	YOR289W
2893	7.93e-08	1.27e-09	-31.397021	12.93916	-1.7496453	YIL113W
5549	7.94e-08	1.29e-09	31.34054	12.92411	1.4779777	YOR206W
3482	7.94e-08	1.30e-09	-31.309077	12.91572	-1.5990335	YKL091C
4066	7.97e-08	1.32e-09	-31.25228	12.90054	-1.5506805	YLR270W
4271	8.07e-08	1.35e-09	-31.161515	12.87622	-1.7577423	YML004C
3992	8.18e-08	1.38e-09	31.066367	12.85064	1.2647483	YLR197W
3144	8.25e-08	1.41e-09	-30.993106	12.83088	-1.3598337	YJL142C
3503	8.27e-08	1.43e-09	30.942843	12.8173	1.2428392	YKL110C
4016	8.80e-08	1.54e-09	30.661478	12.74082	1.0826603	YLR221C
3072	8.90e-08	1.57e-09	30.581727	12.719	1.1831236	YJL069C
3700	8.91e-08	1.59e-09	30.536718	12.70666	1.4177709	YKR081C
110	9.39e-08	1.69e-09	30.299882	12.6414	1.1702084	YBL004W
4517	9.60e-08	1.75e-09	-30.158985	12.6023	-2.6397104	YMR107W
3537	9.60e-08	1.76e-09	30.14226	12.59765	1.0721157	YKL144C
1677	9.78e-08	1.81e-09	-30.035656	12.56792	-2.2961229	YER067W
5684	9.82e-08	1.84e-09	29.958111	12.54622	1.4467775	YOR340C
6035	9.82e-08	1.85e-09	29.947164	12.54315	1.2848475	YPR010C
2057	9.89e-08	1.88e-09	-29.884727	12.52563	-1.1776509	YGL121C
5438	1.00e-07	1.92e-09	29.80721	12.50382	1.3397134	YOR095C
3802	1.01e-07	1.95e-09	29.757169	12.48971	1.3113018	YLR009W
5298	1.05e-07	2.04e-09	29.571121	12.43702	1.5477676	YOL124C
1035	1.08e-07	2.14e-09	-29.406891	12.39021	-2.5658521	YDR070C
936	1.08e-07	2.15e-09	-29.384103	12.38369	-2.4337709	YDL223C
2876	1.12e-07	2.26e-09	29.195631	12.32957	1.1770705	YIL096C
5094	1.12e-07	2.27e-09	-29.175226	12.32369	-1.7343712	YNR002C
1266	1.17e-07	2.38e-09	29.01095	12.27617	1.4309603	YDR299W
3970	1.21e-07	2.51e-09	28.812059	12.21825	1.1385429	YLR175W
3339	1.21e-07	2.53e-09	-28.781143	12.20921	-1.6789243	YJR115W
4970	1.21e-07	2.53e-09	28.780188	12.20893	1.2873258	YNL217W
864	1.22e-07	2.62e-09	28.65094	12.17101	1.0788741	YDL153C
6052	1.22e-07	2.63e-09	-28.646229	12.16963	-1.1302905	YPR026W
2935	1.22e-07	2.63e-09	-28.639826	12.16774	-1.056955	YIL155C
3294	1.22e-07	2.64e-09	28.624808	12.16332	1.1487305	YJR070C
5735	1.22e-07	2.65e-09	-28.608616	12.15856	-1.4345275	YOR391C
4712	1.23e-07	2.70e-09	-28.549074	12.141	-1.3877232	YMR291W
2304	1.28e-07	2.83e-09	28.372074	12.08857	1.4228453	YGR103W
671	1.29e-07	2.87e-09	28.326559	12.07503	1.089684	YCR072C
3164	1.29e-07	2.91e-09	-28.278776	12.06079	-1.9754004	YJL161W
3972	1.30e-07	2.95e-09	-28.229682	12.04614	-1.3701117	YLR177W
3166	1.30e-07	2.97e-09	-28.20119	12.03762	-1.2934067	YJL163C
4595	1.30e-07	3.00e-09	28.160345	12.02539	1.206375	YMR177W
912	1.30e-07	3.01e-09	-28.150675	12.02249	-1.3349427	YDL199C
4827	1.30e-07	3.05e-09	28.100524	12.00745	1.005417	YNL075W
1891	1.30e-07	3.06e-09	-28.092488	12.00504	-1.9289011	YFR015C
33	1.33e-07	3.16e-09	-27.979039	11.97088	-1.483774	YAL034C
2775	1.33e-07	3.17e-09	27.966774	11.96718	1.1106508	YHR215W
4844	1.38e-07	3.33e-09	-27.799475	11.91653	-1.174994	YNL092W
2867	1.47e-07	3.59e-09	-27.531429	11.83468	-1.1439476	YIL087C
146	1.47e-07	3.60e-09	27.52004	11.83118	1.5736139	YBL039C
5300	1.47e-07	3.62e-09	-27.503967	11.82624	-1.1798051	YOL126C
1606	1.47e-07	3.63e-09	27.492297	11.82266	0.9840012	YER006W
4813	1.52e-07	3.79e-09	27.3387	11.7753	0.9830677	YNL062C
2347	1.52e-07	3.81e-09	27.323754	11.77068	1.3772108	YGR145W
4440	1.53e-07	3.86e-09	-27.277917	11.75648	-1.1163968	YMR031C
2332	1.63e-07	4.15e-09	-27.031079	11.67959	-0.9421118	YGR130C
4234	1.63e-07	4.17e-09	27.010727	11.67322	1.0928452	YLR435W
2445	1.65e-07	4.25e-09	-26.943226	11.65204	-1.4413539	YGR243W
4839	1.70e-07	4.39e-09	26.833513	11.61751	1.0546361	YNL087W
659	1.78e-07	4.64e-09	26.646286	11.55822	1.2934802	YCR057C
460	1.79e-07	4.73e-09	-26.582403	11.53789	-1.6128205	YBR230C
2879	1.79e-07	4.77e-09	-26.554489	11.52899	-1.2639299	YIL099W
4990	1.79e-07	4.78e-09	-26.550624	11.52776	-1.6247297	YNL237W
1293	1.81e-07	4.87e-09	26.484595	11.50667	1.2423651	YDR324C
5743	1.81e-07	4.88e-09	-26.477875	11.50452	-1.6517873	YPL004C
5951	1.84e-07	5.00e-09	26.397787	11.47885	1.2678334	YPL211W
2719	1.91e-07	5.22e-09	-26.251539	11.43176	-0.9565084	YHR160C
3677	1.93e-07	5.30e-09	-26.202295	11.41585	-1.006658	YKR058W
3923	2.03e-07	5.64e-09	25.997276	11.34924	1.0654344	YLR129W
